,Question,Right answer
1,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine
2,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi
3,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon
4,What nationality was James Henry Miller's wife?,American
5,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol
6,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",Jonathan Stark
7,Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae
8,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari
9,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006
10,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long
11,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline
12,"Gunmen from Laredo starred which narrator of ""Frontier""?",Walter Darwin Coy
13,Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States
14,In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII
15,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",US 60
16,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",2006
17,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical?,"Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo."
18,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox
19,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",2017
20,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada
21,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",Hawaii
22,Which  American politician did Donahue replaced,Kelli Ward
23,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds
24,How old is the female main protagonist of Catching Fire?,16-year-old
25,Chang Ucchin was born in korea during a time that ended with the conclusion of what?,World War II
26,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips
27,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence
28,Were Pavel Urysohn and Leonid Levin known for the same type of work?,no
29,Are both The New Pornographers and Kings of Leon American rock bands?,no
30,"750 7th Avenue and 101 Park Avenue, are located in which city?",New York City
31,"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",Amy Jo Johnson
32,"Who was born first, Pablo Trapero or Aleksander Ford?",Aleksander Ford
33,Are Jane and First for Women both women's magazines?,yes
34,What profession does Nicholas Ray and Elia Kazan have in common?,director
35,Where is the company that purchased Aixam based in?,"Roseau, Minnesota, USA"
36,"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",The Saimaa Gesture
37,"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",David Lee Roth
38,Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,Nassau County
